chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1651355115,2022-04-30T21:45:15Z,KG7QEC-11,KG7QEC-11,26(7/13),0,/,KG7QEC-11,/O,47.607667,-122.540500,0.0,0.0,33.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=20.88/TB=22.56/V=6589 BISEA
0,1651355130,2022-04-30T21:45:30Z,KG7QEC-11,KG7QEC-11,30(8/13),0,/,KG7QEC-11,/O,47.607667,-122.540667,3.0,39.0,29.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.25/TB=22.56/V=6569 BISEA
0,1651355145,2022-04-30T21:45:45Z,KG7QEC-11,KG7QEC-11,72(18/36),0,/,KG7QEC-11,/O,47.607667,-122.540500,0.0,0.0,46.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.13/TB=22.63/V=6569 BISEA
0,1651355160,2022-04-30T21:46:00Z,KG7QEC-11,KG7QEC-11,73(18/34),0,/,KG7QEC-11,/O,47.607667,-122.540500,0.0,0.0,52.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.31/TB=22.69/V=6589 BISEA
0,1651355175,2022-04-30T21:46:15Z,KG7QEC-11,KG7QEC-11,72(18/36),0,/,KG7QEC-11,/O,47.607667,-122.540500,0.0,0.0,52.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.44/TB=22.75/V=6589 BISEA
0,1651355190,2022-04-30T21:46:30Z,KG7QEC-11,KG7QEC-11,72(19/35),0,/,KG7QEC-11,/O,47.607667,-122.540500,0.0,0.0,54.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.44/TB=22.81/V=6569 BISEA
0,1651355205,2022-04-30T21:46:45Z,KG7QEC-11,KG7QEC-11,73(18/36),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,61.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.69/TB=22.81/V=6549 BISEA
0,1651355220,2022-04-30T21:47:00Z,KG7QEC-11,KG7QEC-11,71(18/36),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,63.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.88/TB=22.88/V=6589 BISEA
0,1651355235,2022-04-30T21:47:15Z,KG7QEC-11,KG7QEC-11,71(19/33),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,72.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=22.06/TB=22.94/V=6589 BISEA
0,1651355250,2022-04-30T21:47:30Z,KG7QEC-11,KG7QEC-11,74(18/34),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,71.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=22.44/TB=23.00/V=6569 BISEA
0,1651355265,2022-04-30T21:47:45Z,KG7QEC-11,KG7QEC-11,72(19/36),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,80.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=22.69/TB=23.06/V=6589 BISEA
0,1651355280,2022-04-30T21:48:00Z,KG7QEC-11,KG7QEC-11,72(19/36),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,81.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=22.75/TB=23.13/V=6569 BISEA
0,1651355295,2022-04-30T21:48:15Z,KG7QEC-11,KG7QEC-11,72(19/35),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,84.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=23.00/TB=23.19/V=6589 BISEA
0,1651355310,2022-04-30T21:48:30Z,KG7QEC-11,KG7QEC-11,73(18/36),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,80.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=23.19/TB=23.25/V=6569 BISEA
0,1651355325,2022-04-30T21:48:45Z,KG7QEC-11,KG7QEC-11,72(19/34),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,78.9,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=23.31/TB=23.31/V=6589 BISEA
